1,Programacion I - Nivel 1,4
2,Programacion II - Nivel 1,2
3,Calculo Diferencial - Nivel 1,3
4,Calculo Integral - Nivel 1,2
5,Bases de Datos - Nivel 1,4
6,Algebra Lineal - Nivel 1,2
7,Estructuras de Datos - Nivel 1,2
8,Analisis de Algoritmos - Nivel 1,2
9,Sistemas Operativos - Nivel 1,2
10,Redes de Computadores - Nivel 2,2
11,Programacion I - Nivel 2,4
12,Programacion II - Nivel 2,2
13,Calculo Diferencial - Nivel 2,4
14,Calculo Integral - Nivel 2,3
15,Bases de Datos - Nivel 2,3
16,Algebra Lineal - Nivel 2,3
17,Estructuras de Datos - Nivel 2,3
18,Analisis de Algoritmos - Nivel 2,4
19,Sistemas Operativos - Nivel 2,4
20,Redes de Computadores - Nivel 3,2
21,Programacion I - Nivel 3,2
22,Programacion II - Nivel 3,2
23,Calculo Diferencial - Nivel 3,2
24,Calculo Integral - Nivel 3,4
25,Bases de Datos - Nivel 3,2
26,Algebra Lineal - Nivel 3,3
27,Estructuras de Datos - Nivel 3,3
28,Analisis de Algoritmos - Nivel 3,2
29,Sistemas Operativos - Nivel 3,2
30,Redes de Computadores - Nivel 4,4
31,Programacion I - Nivel 4,2
32,Programacion II - Nivel 4,2
33,Calculo Diferencial - Nivel 4,2
34,Calculo Integral - Nivel 4,2
35,Bases de Datos - Nivel 4,2
36,Algebra Lineal - Nivel 4,4
37,Estructuras de Datos - Nivel 4,4
38,Analisis de Algoritmos - Nivel 4,2
39,Sistemas Operativos - Nivel 4,3
40,Redes de Computadores - Nivel 5,4
41,Programacion I - Nivel 5,4
42,Programacion II - Nivel 5,3
43,Calculo Diferencial - Nivel 5,4
44,Calculo Integral - Nivel 5,4
45,Bases de Datos - Nivel 5,4
46,Algebra Lineal - Nivel 5,2
47,Estructuras de Datos - Nivel 5,2
48,Analisis de Algoritmos - Nivel 5,3
49,Sistemas Operativos - Nivel 5,2
50,Redes de Computadores - Nivel 6,4
